Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
S1_7,Atkins Reservoir,10/11/2025,12:19 PM,"RV, XG",Stream,Spatial,7,41.5,558.2,516.7,,Yes,,,,Yes,2208,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_8,Roaring,10/11/2025,12:18 PM,"RV, XG",Stream,Spatial,8,41.7,560.3,518.6,,Yes,,,,Yes,2209,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_9,Broad Hil,10/11/2025,12:36 PM,"RV, XG",Stream,Spatial,9,41.8,554.3,512.5,,Yes,,,,Yes,2210,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_10,Shutesbury Cemetary,10/11/2025,12:48 PM,"RV, XG",Stream,Spatial,10,42,559.4,517.4,,Yes,,,,Yes,2211,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_11,Doolittle,10/11/2025,1:10 PM,"RV, XG",Stream,Spatial,11,41.4,550.4,509,,Yes,,,,Yes,2212,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_12,Leverett Library,10/11/2025,1:22 PM,"RV, XG",Stream,Spatial,12,41.1,559.6,518.5,,Yes,,,,Yes,2213,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_13,Leverett Pond,10/11/2025,1:44 PM,"RV, XG",Stream,Spatial,13,41.7,558.2,516.5,,Yes,,,,Yes,2214,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_14,Eastman Up,10/11/2025,1:55 PM,"RV, XG",Stream,Spatial,14,41.3,560.6,519.3,,Yes,,,,Yes,2215,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_15,LW Boat Ramp,10/11/2025,2:27 PM,"RV, XG",Stream,Spatial,15,41.5,563.7,522.2,,Yes,,,,Yes,2219,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_16,Prindle School,10/11/2025,2:51 PM,"RV, XG",Stream,Spatial,16,41.7,550.1,508.4,,Yes,,,,Yes,2221,,,,11/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_17,Horse Farm Down,10/11/2025,3:07 PM,"RV, XG",Stream,Spatial,17,42,540.7,498.7,,Yes,,,,Yes,2222,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_18,Fieldstone,10/11/2025,3:29 PM,"RV, XG",Stream,Spatial,18,42,536.9,494.9,,Yes,,,,Yes,2225,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_19,Wildwood Cemetary,10/11/2025,3:39 PM,"RV, XG",Stream,Spatial,19,41.6,,-41.6,,Yes,,,,Yes,2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_20,Campus Pond Down,10/11/2025,3:51 PM,"RV, XG",Stream,Spatial,20,41.4,,-41.4,,Yes,,,,Yes,2228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_P1,Wet Center,10/12/2025,11:59 PM,RV,Precipitation,Stream_Storm,"Storm 15 Precip. Received ~0.7"". 0.28"" on 10/12 and 0.42"" on 10/13.",41.58,542.7,501.12,,Yes,Yes - all 1-24,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_1,Wet Center,10/12/2025,12:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #1,41.3,550.5,509.2,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2229,-50.22,-8.01,-3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_3,Wet Center,10/12/2025,6:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #3,41.1,529.2,488.1,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2231,-48.89,-7.79,-3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
